Distanz [mm];Center of Gravity [pixel]
260;31.1
265;52.5
270;74.4
275;91.9
280;113.5 
285;133.6
290;151
295;169.5
300;186.5
305;204.1
310;220.5
315;236
320;250.1
325;264.5
330;278.6
335;294
340;307.4
345;320
350;333
355;345
360;358
365;369.5
370;381
375;393
380;403.9
385;415.4
390;426.9
395;435.5
400;445.5
410;463.9
420;482.5
430;500
440;516.6
450;532
460;547.7
470;562.5
480;576.2
490;590
500;602.3
510;615.4
520;627.1
530;638.6
540;649.8
550;661.1
560;671.5
570;681.4
580;690.9
590;700.9
600;709.3
610;717.9
620;726.7
630;734.4
640;742.5
650;750.2
660;757.5
670;764.9
680;771.3
690;779.4
700;784.4
720;797.1
740;809.5
760;820.4
780;830.2
800;842.4
820;850.6
840;862.4
860;871.7
880;879.6
900;883.7
920;890.4
940;898.5
960;907.6
980;914.5
1000;925.0
1020;930.8
1040;932.2
1060;938.5
1080;943.5
1100;950.6
1140;962.1
1180;970.3
1220;978.9
1260;988.3
1300;995.9
